CourseCode,AverageDistance
AQMA,52
DTSAMS,33
CSNPRD,31
CANFSNG,29
CAMA,28
DNCSNG,25
MJSSNG,24
CMA,23
ZDSNG,21
UPSNG,20
CSFSNG,20
GMSNG,20
TDGMA,19
CATSNG,19
DWEBS,19
AGMA,19
IGDSNG,18
VIWBA,18
CCHSNG,18
ZDFSNG,17
CGSSNG,17
CVEFSNG,17
CGVIMO,17
MZSNG,17
GMA,17
CGPPRD,16
CSMS,16
MPRPRD,16
CVESNG,16
CPTFSNG,15
AVBA,15
WBPBS,15
CCHFSNG,15
BMPSNG,15
DGMBS,14
CANSNG,14
FASNG,14
TDABA,14
FTPBA,14
GMFSNG,13
CPTSNG,13
TGDBS,12
TFPSNG,12
CSNSNG,12
OABA,12
WMMSNG,11
GDEPRD,11
JOUSNG,11
DCMPRD,10
SPJBA,10
MUTBS,10
HIFBS,9
CSSNG,9
FMCUBA,9
CYBBS,9
PFTMA,8
FOMA,8
CGNBA,8
INFSNG,6
CSCPRD,6
PLMSNG,6
FUAPRD,6
MJMSNG,6
MDCBA,6
CBSMS,6
DTSMS,5
ATDGMA,5
CBSAMS,5
CNPRD,5
IPMPRD,4
MMJSNG,3
IPMMS,2
VIEIMO,1
