StartTime,Status,Distance
14:00,PDG,22
09:00,P,22
10:00,P,22
11:00,P,22
12:00,ABS,22
09:00,P,22
14:00,PDG,22
11:00,PDG,22
11:00,P,22
09:00,P,22
10:00,P,22
11:00,PDG,22
10:00,P,22
11:00,P,22
12:00,P,22
14:00,PDG,22
11:00,PDG,22
11:00,P,22
12:00,P,22
09:00,P,22
10:00,P,22
11:00,P,22
12:00,ABS,22
14:00,P,22
09:00,P,22
10:00,ABS,22
11:00,P,22
12:00,P,22
14:00,PDG,22
16:00,ABS,22
11:00,P,22
12:00,P,22
11:00,P,22
12:00,P,22
11:00,P,22
11:00,PDG,22
13:00,PDG,22
12:00,ABS,22
11:00,ABS,22
12:00,ABS,22
11:00,CC,22
11:00,P,22
14:00,ABS,22
11:00,ABS,22
12:00,P,22
11:00,P,22
11:00,PWR,22
13:00,PDG,22
16:00,ABS,1
09:00,P,1
14:00,ABS,1
12:00,P,1
09:00,P,1
13:00,P,1
09:00,ABS,1
14:00,ABS,1
13:00,ABS,1
16:00,ABS,1
13:00,ABS,1
12:00,ABS,1
09:00,ABS,1
09:00,ABS,1
14:00,ABS,1
09:00,ABS,1
09:00,ABS,1
14:00,ABS,1
11:00,P,1
13:00,ABS,1
16:00,ABS,1
09:00,ABS,1
13:00,ABS,1
16:00,ABS,1
12:00,P,1
09:00,PDG,1
14:00,ABS,1
16:00,ABS,1
12:00,ABS,1
14:00,ABS,1
09:00,PDG,1
12:00,ABS,1
11:00,PDG,1
13:00,ABS,1
16:00,ABS,1
16:00,ABS,1
09:00,ABS,1
12:00,ABS,1
14:00,ABS,1
13:00,ABS,1
09:00,ABS,1
12:00,ABS,1
09:00,ABS,1
09:00,PWR,1
09:00,ABS,1
13:00,ABS,1
16:00,ABS,1
16:00,ABS,1
09:00,CC,1
12:00,ABS,1
09:00,ABS,1
12:00,ABS,1
09:00,ABS,1
13:00,ABS,1
12:00,ABS,1
09:00,ABS,1
09:00,ABS,1
12:00,ABS,1
09:00,ABS,1
12:00,ABS,1
16:00,ABS,1
14:00,ABS,1
13:00,ABS,1
09:00,ABS,1
09:00,ABS,1
13:00,ABS,1
14:00,ABS,1
14:00,PWR,1
16:00,ABS,1
16:00,ABS,1
14:00,ABS,1
14:00,ABS,1
09:00,P,1
11:00,P,1
09:00,ABS,1
11:00,P,1
09:00,ABS,1
11:00,ABS,1
09:00,P,1
09:00,P,1
09:00,ABS,1
09:00,P,1
09:00,ABS,1
09:00,P,1
09:00,P,1
09:00,ABS,1
09:00,P,1
11:00,P,1
11:00,P,1
11:00,ABS,1
11:00,P,1
11:00,ABS,1
11:00,P,1
11:00,P,1
11:00,ABS,1
11:00,P,1
10:00,P,5
11:00,P,5
15:00,P,5
15:00,ABS,5
15:00,P,5
15:00,P,5
10:00,P,5
11:00,P,5
11:00,P,5
10:00,P,5
14:00,P,5
14:00,AA,5
15:00,AA,5
10:00,P,5
11:00,P,5
14:00,P,5
15:00,P,5
10:00,P,5
11:00,P,5
14:00,P,5
15:00,P,5
11:00,P,5
10:00,P,5
11:00,P,5
15:00,P,5
14:00,P,5
14:00,P,5
14:00,P,5
10:00,P,5
10:00,P,5
11:00,P,5
10:00,P,5
11:00,P,5
14:00,P,5
15:00,P,5
14:00,P,5
15:00,P,5
11:00,ABS,5
14:00,ABS,5
15:00,ABS,5
11:00,P,5
10:00,P,5
10:00,P,5
11:00,P,5
11:00,PWR,5
11:00,ABS,5
14:00,ABS,5
15:00,ABS,5
10:00,ABS,16
09:00,ABS,16
11:00,P,16
09:00,ABS,16
11:00,ABS,16
09:00,ABS,16
